Financial Year,Geographical Level,Legislation,(PACE) Reason for search - Stolen Articles,(PACE) Reason for search - Prohibited Articles,(PACE) Reason for search - Blade or Point,(PACE) Reason for search - Fireworks,Quarter,AgeGroup,Gender
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,46 to 55,Female
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,46 to 55,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S21,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,Not Specified,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,56 to 65,Female
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,Not Specified,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Other,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Firearms Order S53,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,over 65,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Justice and Security Act S21,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,Under 18,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Female
2016/17,Northern Ireland,Justice and Security Act S21,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,TACT S43 & TACT S43A & Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,35 to 45,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,Under 18,Female
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),Yes,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,No,Yes,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Female
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,56 to 65,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S21,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,18 to 25,Male
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Police and Criminal Evidence Order (PACE),No,Yes,No,No,October to December,Under 18,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S21,No,No,No,No,October to December,46 to 55,Female
2016/17,Northern Ireland,Justice and Security Act S21 & Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,Not Specified,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,46 to 55,Male
2016/17,Northern Ireland,Misuse of Drugs Act S23,No,No,No,No,October to December,35 to 45,Male
2016/17,Northern Ireland,Justice and Security Act S24,No,No,No,No,October to December,26 to 35,Male
